Sx00,Sx01,Sx02,Sx03,Sx04,Sx05,Sx06,Force,z,theta,r
39,39,50,31,40,37,46,2.12,0,0,"3
"
38,39,50,33,42,37,46,2.13,0,0,"3
"
38,43,45,33,42,38,48,2.21,0,0,"3
"
38,43,45,33,41,38,48,2.26,0,0,"3
"
43,43,51,32,41,38,48,2.21,0,0,"3
"
43,38,51,32,41,38,48,2.15,0,0,"3
"
41,38,51,34,42,38,48,2.15,0,0,"3
"
41,38,48,34,42,35,50,2.18,0,0,"3
"
41,38,48,34,42,35,50,2.22,0,0,"3
"
31,38,51,34,42,35,50,2.17,0,0,"3
"
31,42,51,34,42,35,49,2.16,0,0,"3
"
31,42,51,31,44,35,49,2.24,0,0,"3
"
41,40,48,31,44,34,49,2.11,0,0,"3
"
41,40,48,31,44,34,49,2.13,0,0,"3
"
39,40,48,32,44,34,49,2.24,0,0,"3
"
39,43,52,32,44,38,48,2.14,0,0,"3
"
39,43,52,33,44,38,48,2.13,0,0,"3
"
40,43,54,33,40,36,48,2.14,0,0,"3
"
40,35,54,33,40,36,51,2.09,0,0,"3
"
38,35,54,31,44,36,51,2.13,0,0,"3
"
38,38,49,31,44,35,48,2.14,0,0,"3
"
38,38,49,31,44,35,48,2.11,0,0,"3
"
34,38,50,33,44,35,48,2.11,0,0,"3
"
34,40,50,33,44,35,50,2.13,0,0,"3
"
34,40,50,30,41,35,50,2.14,0,0,"3
"
35,40,48,30,41,36,50,2.15,0,0,"3
"
35,40,48,30,41,36,50,2.1,0,0,"3
"
36,40,48,31,39,36,50,2.11,0,0,"3
"
36,40,48,31,39,35,45,2.2,0,0,"3
"
36,40,48,33,39,35,45,2.11,0,0,"3
"
38,40,49,33,39,34,45,2.1,0,0,"3
"
38,40,49,33,39,34,50,2.12,0,0,"3
"
37,40,49,35,40,34,50,2.08,0,0,"3
"
37,38,49,35,40,35,49,2.1,0,0,"3
"
37,38,49,35,40,35,49,2.08,0,0,"3
"
36,38,51,30,41,36,49,2.04,0,0,"3
"
36,35,51,30,41,36,44,2.07,0,0,"3
"
